medsos,comment
Youtube,Pakai skintific pink toner serum moist malah beruntusan kering dan kusam 😢 beda banget sama review2 orang
Youtube,Bole di pake umur brp?
Youtube,Snstif bisa pake g ka?
Youtube,Aku make skintific yg birunya ama yg pink..muka aku banyak minyak nya trs wajah aku jadi hitem banget 😭😭
Youtube,"Sebelumnya gada pakai skincare apapun kecuali facial foam yang udah aku pakai dari SMA. Katanya skintific ini bisa memperbaiki skin barier jadi aku coba, krn muka ku lagi breakout dan gradakan. Tapi pas udh nyoba malah timbul beberapa jerawat gede2 kemerahan, sedikit gatal, dan bikin muka ku kayak panci penggorengan 😂. Takut banget mau terusin padahal baru 3 hari. Kulit asli aku memang berminyak semuka-muka karena genetik, dan sangat2 sensitif, ternyata ga cocok pakai scintific. Buat tipe muka yg sama kayak aku mending pikir2 lagi kalau mau cobain karena harganya lumayan ya tsaaayyyy."
Youtube,Itu pemakaian bisa berapa bulan? Awet ga ya
Youtube,"Aku ada preloved skintific 5x ceramide yang 80gr , cuma di pakek 1 kali pump doang"
Youtube,Terimakasih informasinya kak
Youtube,Revief dong kak yg cocok untk wjh berminyk berjerawat skligus berflek😢🙏
Youtube,Minta saranin untuk wajah jerawatan tp berminyak bagusnya pake apa
Youtube,"STku combination to oily. Thn lalu kulitku kering bgt tapi oily, kondisinya mengelupas, merah, jerawat batu, dan kalau pake make up selalu crack/ngelupas, tapi tetep oily. Ternyata skin barrierku rusak. Aku pake skintific ceramide moist itu sekitar 4-5bln. Tp bulan2 terakhir krn skin barrier aku udh membaik dan pake moist ini malah becek krn ga cepet meresap, terus jd banyak komedo/sebum mengendap di pori2 yg bikin jerawat, jd aku berhenti pake. Akhirnya beralih ke serum green tea innisfree yg bahannya hyaluronic acid dan oil free moist cosrx bener2 dah ga punya masalah kulit skrg. Walau udh ga pake skintific tetep berterima kasih udh ngobatin skin barrierku yg rusak parah. Jujur emg cocok bgt buat skin barrier repair tp kalo udh sembuh dan STmu oily mending ganti pelembab 🙏🏻"
Youtube,"Alhamdulilah ccok ko pke skintific😊 .. muka aq berminyak jerawatan pula .. v pas abis 2 jar .. baru kliatan hasil nya .. kulit bner"" halus ga gradakan .. truss jerawat juga berangsur membaik 😍 yg pnting jgn lupa exfo 2 kali seminggu"
Youtube,"Pake ini malah kek basah semua diwajah, pake malem pas, bangun pagi nya kek terlihat berasa dioles minyak goreng mukanya wkwkwk"
Youtube,Ka ceramide dicampur panthenol boleh ga ya
Youtube,Aku pakai malah kusam dan gatal
Youtube,buat aku yg punya oily skin sm jerawatan kecil2 merah pake itu seminggu udah calming bgt karena jerawatannya ga merah lg. skrng dah sebulanan makin glowing dan jerawatannya tinggal bekas aja. kalau bisa ngirim foto before after aku langsung kirim sbnrnya😂
Youtube,"Kak klo pake crim Skintific mlm nya aj trus siangnya pake produk Y,O,U boleh ga ya"
Youtube,"Mau oily atau pun dry skin, semua perlu moisturizer utk menyeimbangkan kelembaban. Jadi kalau ada yang beranggapan kulit berminyak gak perlu moisturizer itu salah besar."
Youtube,Review mixdeco ka
Youtube,"Aku mau tanya donk kak,tipe kulit aku itu berminyak tapi gk parah banget ada sedikit jerawat jika sedang Dateng bulan ,untuk perawatan kulit baik nya pakai apa y"
Youtube,"Semoga dijawab, bisa gk ya kak klo pakai serum produk lain terus pake mois skintific ini di malam hari?  Terus pakai serim duluan atau mois duluan?"
Youtube,Baru coba hari ini.... Smg cocok
Youtube,"Kalo aku bagus di jar pertama bikin muka bersih lembab n putih, tpi dijar ke dua muka jd kering n item kusam gitu, 
Jar pertama belinya di toko kosmetic, yg kedua belinya di official,emangnya ngaruh ya? Padahal sama² skintific"
Youtube,Kak aku udah 1 Minggu makek skintific mosturizer ini knp ga ada perubahan trus nambah jerawatnya?
Youtube,Ka mist ini bagus gak sik buat bopeng
Youtube,gue tipe kulit kering tapi setelah make ini padahal makenya dikit doang langsung berminyak 😢
Youtube,"D tiktok pada lomba2 jualan kosmetik ud kyk jualan obat d pasar2 gt gaya ngomong nya , ga oernah tertarik sm skincare yg viral soalnya bnyak review palsu 😂😂,  msh setia sm wardah cristal screet"
Youtube,"aku cocok banget pake ini, kulitku dry dan gradakan bekas jerawat, tp sejak pake ini kulit jd moist dan kemerahan bekas jerawat mulai memudar dan ngerasa lebih sehat kulitku"
Youtube,"ka klo kulit wajah ku berminyak kusam komedo, cocok ga ya pke produk ini soalnya blom pernah pake skincare sama sekali, mohon di jawab ka"
Youtube,Pakai facial wash nya kok bruntusan ya ? Mana harganya lumayan mahal lagi
Youtube,Yg mau skintific glow chat aku ya.. aku mau jual 250 aja.. d aku kurang cocok
Youtube,"Hallo kak saya baru aja beli paket Skintific Dark Set 1set, mau tanya karna ini baru pertama kali pakai gini2an, kalau toner itu digunakannya hanya malem hari aja kak ? Atau boleh pagi siang ?
Terus kalo siang hari itu pakai serum & moisturizernya boleh jg ga si? Bingung sy wkwk gini amats cowo mau glowing ya. Makasih"
Youtube,Thanks buat review jujurnya yaaa 👏😎
Youtube,Kak kalo pake bumil aman gak?
Youtube,"halo tmn2, aku punya toner + serum 5x ceramide nih
brgkali ada yg mau gantiin wa aku yaa 085645864877"
Youtube,Kak aroma moist nya itu mmg ky mint gt ya ? Saat kena kulit kek ada mint2 nya
Youtube,Penjelasannya padet banget sama informasi bener bener jelas banget woy
Youtube,Reviewnya berisik kebanyakan cerita d banding praktek😮
Youtube,Buat aq sih cocok banget pake Skintifik.Dari permukaan kulit yg ga halus dan skrg sdh lbh halus.MERDEKA bersama SKINTIFIC
Youtube,MERDEKA bersam SKINTIFIC
Youtube,"aku udah setaunn lebih pakai brand ini dan cocok banget di muka ku, bikin lemban dan pastinya kulitku makin sehat"
Youtube,MERDEKA BERSAMA SKINTIFIC
Youtube,Aku dah pakai stahun cocok banget d wajah
Youtube,"Moustaizernya juraaa.. menyegarkan, aromanya jga enak, ME-MERDEKAKAN kulit wajah, terasa lembut aja."
Youtube,"Kaka apa bisa Skintific ini bs di gunakan dengan wajah yg berminyak apalagi saya belum pernah menggunakan nya 
MERDEKA bersama SKINTIFIC"
Youtube,"Wah, liat review nya bagus, kynya cocok, jd penasaran tuk coba, karna jenis kulitku jenis kulit yg tdk berjerawat n mudah kusam, jd terhidrasi krn cuaca yg dingin, sehingga cenderung kering, jd memang perlu nutrisi 
MERDEKA dengan SKINTIFIC"
Youtube,Di timpa skincare siang boleh kk?
Youtube,"Sorry skintific 🙏 overated ,, cukup coba 1 tube aja ,, kalau ga rajin exfo bikin komedoan n brp x dipake lama"" rada cekat cekit ,, paling ga suka after pake bukan keliatan glowing malah kek kusem berminyak gitu"
Youtube,Alhamdulillah aku pakai lamour skincare Cocok
Youtube,"Inti nya tergantung kulit cocok apa tidak kulit nya ,klo ga cocok stop klo cocok lanjut"
Youtube,ka abis pake moisturizer boleh gak pake pelembab lain nya
Youtube,"Baru pake 2 minggu n udah kerasa banget bedanya …
Wajahku oily skin tp  somehow cocok bgt buat aq.
Beruntusan di jidat udah membaik banget n kulit bopeng berasa lebih halus n putih"
Youtube,"Mau nanya dong bagi yang udah pernah pakai skintific 5x ceramide, habis pakai skintific 5x ceramide bisa langsung pakai bedak gak? Atau gimana. Terima kasih yang udah jawab🙏🏻"
Youtube,aman untuk busui gk kak?
Youtube,"Skintific Barrier Repair Mostuizer Gel & Skintific Barrier Mosturizer Gel ini dua produk berbeda atau bagaimana yah? Karena Mirip sekali, saya pernah membeli keduanya (cuman yang Skintific Barrier Repair Mostuizer Gel tidak saya pakai, karena berbeda dengan travel size yang dulu saya coba pertama). Sekilas nampak sama, tapi setelah dilihat lebih jeli dan teliti, keduanya sangat berbeda mulai dari packaging sampai tekstur serta  mosturizernya. Adakah yang punya pengalaman serupa dengan saya?😅"
Youtube,ini produk bukan lokal ya jangan salah tangkep. dan mereka bener2 gencer pake influencer sebanyak mungkin untuk naikin brand nya dan matiin brand lokal kita. please gen z gen y harus pinter dalam memilih jangan mau kt kalah di negeri sendiri terus ya
Youtube,Bener banget kak... Aq pakek d pagi hari full rutinitas.. Krna berkeringat.. Jd timbul jerawat Tp aq pakek malm aja... Aman2 aja kak.. Pas bnget kyk yg aq alami😊
Youtube,kk plis skintific udah bpom atau blom ya masihragu mau nyoba
Youtube,Kalau untuk mncerahkan bagusnya pake apa y kk
Youtube,Cara pesannya gimana?
Youtube,Apakah memakainya bikin kulit panas dan apakah aromanya
Youtube,Skintifix untuk usia 13 th bisa gak kk
Youtube,Skintifix untuk usia 13 th bisa gak kk
Youtube,Ka itu  siang malem apa buat malem doang
Youtube,aku pake face wash sama sunscreen yang 5X ceramide. apakah moisturizer harus pake yang 5X ceramide lagi?.. +untuk wajah kering kusam mending yang biru apa yang pink?
Youtube,Kak aq kan baru pake glowing set ini perlunpake suncreen g kak??trz suncreen dpake setelah moisterazier  ato sebelumny???
Youtube,Ka pakainya pagi sama malem?
Youtube,"Q punya glowing set baru dipake 3x(serum dan moisturizer), ada yg berminat bayarin kak"
Youtube,Kak bs gak menghilangkan bekas jerawat merah kehitaman gitu?
Youtube,pgn konsul ad admin nya g ya..
Youtube,"Q dapet info krim ini dari teman c,katanya bagus bngt,,,pingin pake tpi gk tau paket apa yg cocok kak, mukaku ada flek bintik hitam dibawah mata tu lho🙏"
Youtube,"Usia ku sdh 30thn k atas cocoknya pake yg mana ya mbak,soalnyo wajahku kusam mempunyai flek,kering,agak mulai berkerut di dahi mohon petunjuknya mbak 🙏🏻"
Youtube,"Kl produk skitific bagus banget, ini saya baru pertama kali pakai skitific yg dark spot. Enak banget dipakainya dan bintik hitam sedikit memudar..."
Youtube,"Kulitku sensitif gmpg gatel  klo udh salah pke produk, sma komedo hitamku di hidung susah bgt hilangnya😭 baiknya pket yg mana kk"
Youtube,"Boong mah dia pake krim abal"" liat mukany aja glowing putih merah gamungkin pake skintfc"
Youtube,"Aku mau jual moizturizer skintific yg pink,masih baru segel... Kukasi potongan harga"
Youtube,"Kak aku tiga hari pemakaian glowing set kok mukaku langsung beruntusan ya, sebelumnya ngga pernah beruntusan"
Youtube,Kenapa aku malah jadi jerawatan ya😔 mana munculnya barengan😫
Youtube,"Baru beli mois pink sama serumnya, ternyata gak cocok hiks..
Baru dipakek 2x, barangkali ada yg mau gantiin gais"
Youtube,Kaka setlah makek skintific itu bisa pakai bedak make over gak?
Youtube,Abis brp pot biar bener2 glowing kk?
Youtube,"Kak aku kan pake repair barrier set dipake pagi hari,, terus malamnya pake repair barrier set cuman moist yg pink yg aku pakai ga pake moist yg biru itu bisa ga ya??"
Youtube,"Kak, kalau gatal dan timbul jerawat beruntus kira kira ini ga cocok atau apa yah?"
Youtube,"Aku udah habis pakai mois yg  biru,kalo mau ganti yg ke pink gimana ya?"
Youtube,Ada label halalnya gak?
Youtube,"Haii kk.. aku mau prelov 4 pcs paket brightening set.. baru 2 kali pemakaian, ada yg mau gak?"
Youtube,Sabun cuci muka sama suncreenya apa ya
Youtube,Kaa di gunakan pagi malsm atau cukup pagi ajah ya??
Youtube,Facial washnya pake apa kk?
Youtube,Semoga aku cocok
Youtube,"Ka,, cara pemakaian nya serum dulu baru moisture gel nya atau satu"" aja ?"
Youtube,Ok ak mo ganti dr yg blue k pink ... ini bisa buat siang mlm kan yg pink mouisturizernya ?
Youtube,Cuma pake 2produk itu bisa glowing gitu
Youtube,"Kulit kusam tapi cenderung kering, cocoknya pake apa ya?"
Youtube,Utk bumil busui aman?
Youtube,Bisa ngecilin pori2 gak ka?
Youtube,"kak mau tanya, kalo sehabis pakai dari malem. paginya lengket kah?"
Youtube,".Kox aq make glowing set kox kerasa panas, gatal ya kk.. Apa ga cocok ya kk..?"
Youtube,Kak pmkainanya itu serum trakhir ia apa serum dulu bru yg satunya?
Youtube,Mau tanya kak misal langsung pake yang glowing set bisa gak ya? Saya kendala di wajah belang soalnya
Youtube,Ini makenya g kebalik kah bukan nya serum dlu
Youtube,"setelah pakai moist skintific yg pink ini bisa ditimpa loose powder ga kakk, make up gtu"
Youtube,"Kulitku berminyak mudah jerawat pori besar kusam item,baiknya pake yang apa ya? Mau awal pemakaian jadi masih bingung pake yg mana kak"
Youtube,"Saya dulu pernah pake skincare lain, tipe kulitku kering, kusam, bruntusan. Lebih baik make skin barrier/yg kemasan warna pink kk?"
Youtube,Serumnya dipakai malam aja kak? Trs hbis pakai serum langsung timpa moistrzer ya kak?
Youtube,Dipakai nya setiap hari pgi malam bisa ka . Aku pakai yg glowing set
Youtube,Aku pake glowing set5 baru 4x pakai mau prelov krna ku tdk ccok
Youtube,"Kk Plis mohon jawab, muka aku komedoan bekas jerawat d pipi bnyk bnget bruntusan kecil’ trus jerawat on off bisa pakai yg ini ngga kk?"
Youtube,kak kan aku pake aloevera dari produk lain abis pake aloevera boleh langsung pake skintific ini ga?
Youtube,Ka kalo aku pake serumnya yg anti dark spot ngefek ga sih
Youtube,Kak ini bisa buat busui ngga sih?
Youtube,Kak ini pake serumnya dulu apa moisturizernya dulu kalau pake barengan?
Youtube,"Aku salah beli niacimanide serum, baru beli beberapa jam lalu belom di pake sama sekali. Masih ada invoice pembelian,beli di whatsons. Ya mau over bisa komen ya"
Youtube,Buat ibu hamil boleh gak
Youtube,toner sm sunscreennya apa kak?
Youtube,Boleh untuk ibu menyusui ga ya
Youtube,Q sekali pake langsung keliatan kusam berminyak. Kulit q normal to oily. Jd kurang cocok klo q pake pagi. Jd q akalin pake malem doank.
Youtube,Busui aman ga pakai ini ya
Youtube,Boleh untuk busui ga kak?
Youtube,Buat komedo parah pakai yg mana kak
Youtube,Ada yg bruntusan gak sih pakai yg paket glowing set pink ? Kok aku bruntusan gatel ya pdhal udah mau sbulan makenya 😭
Youtube,Kak aman buat ibu hamil tidak??
Youtube,"Aku pakai itu,kulit jdi lengket bngt.gk betah dgn lengket dimuka"
Youtube,"hallo ka , aku jual MSH Niacinamide brightening masih segel . karena aku baru tidak disarankan buat bumil huhu. yang mau boleh japri aku yaa"
Youtube,"Kamrin aku pkai skincare d*****a dri muka aku yg ngk ada jerawat, malah jerawatan parah, brubtusan di serulir wajah, belum hbis creamnya lngsung di stop, skrng di bantu skintific Alhamdulillah angsur2 membaik"
Youtube,"Hallo kak, aku mau tanya. Saya kan sekarang masih pakai cream Beni***, terus kulit agak kusam sama beruntusan gitu. Nanti mau ganti ke  skintific, bagusnya paket untuk skin barrier dulu atau paket glowing ya kak? Terus kalo tanpa facial wash skintific bisa ngga ya? Atau kakak ada recomend facial wash yg bagus? Makasihh kak🙏"
Youtube,"Hi guys, aku mau jual skintific yg warna pink (serum+moist) ,ternyata dimuka aku kurang cocok, dan aku mau beralih lagi ke skintific yg biru.
Dari  250k ,aku jual 150k yaa. Makasih"
Youtube,"kak untuk steppnya kek gimana ? tonner,  serum,gel atau gmn ya ka??"
Youtube,Apa perlu pkek cream siang mlm lagi kak ?
Youtube,"klo kulit kusam, sdh pake beberapa produk hasilnya gitu"" aja susah banget cerahnya,,, itu cocok pake yg mana ya?"
Youtube,"Ane cowok yg paling gak percaya sma skincare2an..

Terus sma pacarku dipaksa beli maskernya. Pas beli, terus nyoba anjir ajaib bnget. Terus nyoba serumnya, anjir lebih ajaib, dan akhirnya nyoba moisturizernya dan paling ajaib.

Dan skrng skibcare skintific ku lebih lengkap dr pacarku 😂. Dan effeknya lebeih ajaib di aku dbanding dia... Smpe bete sendiri dia, kalah glowing wkwkwk😂"
Youtube,Suncreennya kk pakai apa
Youtube,sabun muka sama suscreen nya pake apa kak
Youtube,Kalo di kombinasi smaa cream pagi malam dokter aman gak ya
Youtube,ngomong nya sok cantik
Youtube,mulut lu kurang monyong
Youtube,"Aku pakai ini kurang cocok brngkli mau dibeli nih bru dipkai beberapa hari toner, serum, sma moisturizer nya"
Youtube,"Kk sy baru pake 4 hari tpi kok muncul beruntusan kecil tpi gak gatel atau panas, cmn itu muncul brutusan kecil, itu gimana ya kk?"
Youtube,Guaa salfok njayy lemari nya sama kek guaa 😭🙏
Youtube,Kak misal mau pindah pakai skincare skintific beri jeda dulu ga dari skincare sebelumnya? Kalau iya berapa lama?
Youtube,Klo serum nya boleh dipake tiap hari gak?
Youtube,Bisa untuk Cowok kak ? . Sy trtarik dg yg anda tawarkan di video ini .
Youtube,1 paket brpa kak
Youtube,Ini produk emang terbaik. Aku pake moisturizer nya ada udah ok banget apalagi paketan ❤❤
Youtube,"Td nya mau cobain product ini, tp nyimak komen² konsumen bnyk yg blg ga cocok bkin jerawatan,beruntusan, dll, gue jd mikir² lg deh buat nyoba"
Youtube,Bpom?
Youtube,Muka bermihyak pke ping blh ga ya.
Youtube,Kak untuk wajah kusam & berminyak ccok pake apa?
Youtube,Ka boleh nga.. Kita pake itu suncren yh pke wardah apa bisa ga
Youtube,Aku pakek ms glow tapi gada hasil kak ... Apa ganti aja ya
Youtube,Cara pemakaian ka yg lengkap
Youtube,"Kulitku cerah tp glowingnya ga begitu suka, bagusnya pakai rangkaian mana ya, yg mencerahkan tp gak bikin glowing"
Youtube,Aku jga pakai  emng benaran  lnsung terbukti temn² bru pkai 2 mingu  jngan rgu  beli produknya mntap aku cocok pkainya  wajhku suka tunbuh  jrawat skrng hilang alhamdulilh terbntu  soalnya pernh pkai produk yg lain gk cocok
Youtube,ka klo baru mau coba gnti cream dr cream lain bagusnya pakai yg mna
Youtube,Kak mau nnya dong klo ndk pake toner apa pengaruh buat muka kita
Youtube,"Aku udah 2 minggu pakai ini ,sedikit ade perubahan ,tapi kok timbul jerawat 😢"
Youtube,Aku udh pake glowing set udh 3 bln n cocok... Pokoknya bagus produk skintific ini
Youtube,Baru tau skintific itu dari china 😭😭
Youtube,"Ka...kulit q kusam ,kering ,pori2 besar, ada seperti bintik2 coklat seperti tahi lalat, ga ngerti itu apa..,pengen pakai skincare tapi bingung mo pake yg mana?"
Youtube,"Eh kak, kalo UD pakai moisturizer Mash perlu pakai day/night cream juga ga si? Apa moisturizer itu fungsinya sudah sama kayak day/night cream"
Youtube,glowing set ini hnya dipakai malam hari saja kah kak? Lalu untuk review toner yg niacinamide nya ko tdk ada kak??
Youtube,"Lagi ada jerawat acne lg coba yg Panthenol smoga hasilnya membaik, abis tu klo udh membaik mungkin bisa pke yg di video ini yg glowing set"
Youtube,Kalo toner pake nya gmn sekalian sm 2 ini atau gimana
Youtube,Untuk pemula langusng beli yang besar atau yang kecil dulu kak? Untuk moiznya
Youtube,Di Indomaret tersedia g buk?
Youtube,pilih Moisturizer pink nya atau serum pink nya ya kak?
Youtube,Kalo fokus mencerahkan yang mana kk
Youtube,kak ini kalo dipake tanpa serumnya berpengaruh ga ya?
Youtube,Buat kulit minyak gitu sma perbaikin skin barier pink juga bisa kan kak
Youtube,"Kak, kalo moistnya pagi pake yg biru, terus malam pake yg pink aman aja kah?"
Youtube,Ini yg pink di pakai pagi atau malem?
Youtube,Kak kalau pakai retinol dri skintific trs di gabung sma moist yang biru bsa gak kak?
Youtube,"Aku punya yg pink bagus melembabkan, cuma gak ccok, ada yg mau d bawah harga asli nya kok, masih 95%"
Youtube,Kalo pake yg pink. Facial wash ny pake yg mana kak?
Youtube,"Kak Mw nanya, kalau aku pakek home peeling erha seminggu 1x trs cocoknya pakai mousturizer yang warna pink atau biru ?"
Youtube,"kalau kulit kusam, berminyak, ada bekas jerawat, bruntusan kecil² tapi ga banyak di jidat pake set yg mana ka?"
Youtube,ada yg mau beli shooting toner aku ngga? baru dn bersegel ya
Youtube,Ready toner skintific yg shooting toner biru . Bru di pake 3x klo ad yg mau DM ya
Youtube,"perbedaannya before kamera di gelapin, after kamera di cerahin sm ringlight😅😅"
Youtube,"Thanks ka review nya terutama yang pink,jadi tau ternyata oily skin jg bisa pake."
Youtube,klo kulit kering cocok yg mna
Youtube,Kak baru mau nyoba. Bagusnya ini dulu atau serum nya dulu? Pliss kasih masukan
Youtube,mulai dari umur berapa kak?
Youtube,"Hallo kak , , lagi pusing cari skincare yg cocok tuk kulit kusam & ada flek , kondisi kulit wajah normal. 
 mohon saran nya dunk kak yg bagus 🙏🙏🙏"
Youtube,Ada yg mw gantiin gk moist yg pink msh baru bangettt baru buka... Ak biasa pk yg biru... Knp hrs cekout yg pink 😂😂
Youtube,kalau pakai moisturizer yg biru dulu utk fokus perbaiki skin barier trus nnti kalau udh abis pakai yg pink utk fokus mencerahkan bisa ga ya kak???
Youtube,kak aku beli skintific moisturizer msh niacinamide kok tekstur nya encer gitu ka..
Youtube,kaa yang pink bisa dipake kalo abis maskeran pake mugwort gaa?
Youtube,"Ka klo kulit berjerawat, ada bekas jerawat nya juga, komedoan, kulit belang dan kulit cenderung sensitif ka,,baik nya yg mana ka. Soal nya pemula juga, bantu di jawab ka 🙏🏻"
Youtube,Kulitku kusam berkomedo dan pori besar bagusnya pake yg mana ya?bingung banget muka kek kulit ayam
Youtube,Kk klo kulit kusam dan tekstur kulit seperti ada bruntusan ringan dan komedo juga bgusan yg pink atau yg biru ya kk. Mohon di jwb ya kk.
Youtube,Boleh gak digabung sama serum l'oreal yg Glycolic?
Youtube,Kak batle sma mois LANBENA niacinamide dong
Youtube,Aku ada skintific acne set isi 4. Aku salah cek out guys niatnya beli yg pink. Kalau mau aku juak rugi goo barangnya ngga aku buka kok baru dtg masih segel. Aku beli 399k promo tawar aja brp terserah🥲drpd ga kepake
Youtube,Bisa pake siang & malam ga kak?
Youtube,Untuk kulit kusam tapi tipe dry pake apa ya kak?
Youtube,di pakai siang atau malam ya
Youtube,Hay kalo facial wash aku Tabita gimana kak apakah ga papa di kulit aku untuk formula?
Youtube,Sehari di pakenya brp kali kak
Youtube,"Aku yes bgt pake ini udah 3 bulan, moisturizer + serum niacinamide, toner cosrx aha bha, sabun facial wash jellys + Kalo keluar panas²an  Aku pake sunscreen cathy doll tipis² aja.. auto glowing 👍"
Youtube,"Pengen cobak moisturizer nya yg pink tapi kondisi lagi pakek skincare lain (ms glow), aba bisa kak?"
Youtube,Di kulit berjerawat aman gak kak?
Youtube,Untuk kulit kering cocok ga kakkk????
Youtube,Apakah uda ada sunscrennya?
Youtube,Kak stelah pake rangkaian skintific day cream nya pake merk bebas atau gimana ? Semoga dijawab makasii
Youtube,Cek harga dong kak
Youtube,Ka kenpa ya setelah pake yang pink itu muncul lgi jerawat trus kya kemerahan gitu sama panas panas ya? Awalnya pake yg biru muka udah bagus jerawat udah ilang trus aku ganti sama pink yg gitu((((
Youtube,"Baru beli yg pink sama serumnya, eh ternyata gak cocok dikulit aku hiks..
Baru dipakek 2x, barang kali ada yg mau gantiin.."
Youtube,"yg pink dipake siang aman ga Kak?
aku lagi pake yg biru utk malam aja, krn kalo siang malah tambah jerawatan, kalo yg biru udah pake 2mingguan cuma ngebreakout semingguan aja mashaAllah tabarakallah, jd masik bingung kalo pagi harus pake apaan, krn sekarang cuma pake haselin dr Garnier yg pink 😆
mohon dijawab ya Kak"
Youtube,"Kak aku kan pake repair barrier set dipake pagi hari,, terus malamnya pake repair barrier set cuman moist yg pink yg aku pakai ga pake moist yg biru itu bisa ga ya??"
Youtube,aku pke glowing set pagi sama malam gpp kn ???
Youtube,"Haii kk.. aku mau prelov 4 pcs paket brightening set.. baru 2 kali pemakaian, ada yg mau gak?"
Youtube,"Ka, aku kan ojol, tipe kulit kering, baiknya pake yg biru apa langsung yg pink
Mohon sarannya  🙏"
Youtube,Binga ngilangin bruntusan ga si kak
Youtube,Kog punya ku engga ada scoop y yg MsH Niacinamide dan serum y punya ku Pump..asli gk ch
